x y

Blue Cone Positions
 1.00287000e+00  8.99199000e+00
 -4.00900033e-03  8.99858000e+00
 -1.00000000e+00  9.00000000e+00
 -2.00000000e+00  9.00000000e+00
 -3.01341000e+00  8.97965000e+00
 -4.01132000e+00  8.98367000e+00
 -5.03119000e+00  9.02271000e+00
 -6.01656000e+00  8.99219000e+00
 -7.02544000e+00  8.99692000e+00
 -7.89099000e+00  8.76569000e+00
 -8.80318000e+00  8.02876000e+00
 -9.01547000e+00  7.02664000e+00
 -9.00492000e+00  5.97009000e+00
 -9.02217000e+00  4.98243000e+00
 -9.02758000e+00  4.01654000e+00
 -9.01263000e+00  2.96326000e+00
 -8.99629000e+00  1.99231000e+00
 -8.99717000e+00  9.88622000e-01
 -9.00063000e+00 -1.09620000e-02
 -8.98533000e+00 -9.97787000e-01
 -8.99235000e+00 -1.99396000e+00
 -8.99810000e+00 -2.95007000e+00
 -9.00000000e+00 -4.00000000e+00
 -9.00000000e+00 -5.00000000e+00
 -9.00000000e+00 -6.00000000e+00
 -9.00000000e+00 -7.00000000e+00
 -8.66518000e+00 -8.01856000e+00
 -7.94749000e+00 -8.84022000e+00
 -6.98615000e+00 -9.17610000e+00
 -6.11055000e+00 -8.94277000e+00
 -5.54103000e+00 -7.97071000e+00
 -5.27332000e+00 -6.94353000e+00
 -4.95045000e+00 -5.97300000e+00
 -4.59999000e+00 -5.03078000e+00
 -4.15024000e+00 -4.30378000e+00
 -3.83984000e+00 -3.31180000e+00
 -3.46658000e+00 -2.17510000e+00
 -3.11595000e+00 -1.26137000e+00
 -2.84383000e+00 -9.46336000e-01
 -2.46102000e+00 -8.01521000e-01
 -2.07627000e+00 -9.70061000e-01
 -1.82697000e+00 -1.39581000e+00
 -2.01510000e+00 -1.99519000e+00
 -2.47554000e+00 -2.88112000e+00
 -2.85269000e+00 -3.93745000e+00
 -3.23002000e+00 -4.96531000e+00
 -3.58048000e+00 -5.90753000e+00
 -3.95799000e+00 -6.90690000e+00
 -3.86994000e+00 -7.84640000e+00
 -3.32867000e+00 -8.79900000e+00
 -2.45486000e+00 -9.09188000e+00
 -1.61661000e+00 -8.80096000e+00
 -9.37986000e-01 -7.74276000e+00
 -5.03721000e-01 -7.05640000e+00
 -9.50980003e-02 -6.65505000e+00
  3.42697000e-01 -6.53840000e+00
  7.81553000e-01 -6.59266000e+00
  1.14066000e+00 -7.04620000e+00
  1.41826000e+00 -7.61420000e+00
  2.00466000e+00 -8.34309000e+00
  2.97654000e+00 -8.63361000e+00
  3.85897000e+00 -8.30193000e+00
  4.53653000e+00 -7.14119000e+00
  4.55826000e+00 -6.04383000e+00
  4.49477000e+00 -5.00630000e+00
  4.31623000e+00 -3.82121000e+00
  4.05339000e+00 -2.84423000e+00
  3.70477000e+00 -1.83812000e+00
  3.44229000e+00 -9.20452000e-01
  3.55366000e+00 -4.74935000e-01
  3.80768000e+00 -2.85340000e-02
  4.28700000e+00  8.93742000e-01
  4.85265000e+00  1.69793000e+00
  5.41793000e+00  2.56143000e+00
  5.98358000e+00  3.36561000e+00
  6.46345000e+00  4.19894000e+00
  7.00762000e+00  5.07837000e+00
  7.64312000e+00  5.89594000e+00
  8.13367000e+00  6.87172000e+00
  7.74233000e+00  7.97751000e+00
  6.97065000e+00  8.74255000e+00
  6.00000000e+00  9.00000000e+00
  5.04539000e+00  9.00360000e+00
  4.00000000e+00  9.00000000e+00
  3.00000000e+00  9.00000000e+00
  2.00000000e+00  9.00000000e+00

Yellow Cone Positions
 1.00044   7.97449 
 -0.033975  7.95567 
 -1.        8.      
 -2.        8.      
 -3.02882   7.98911 
 -4.03117   8.0128  
 -5.03746   8.0052  
 -6.02928   7.99401 
 -7.01852   7.95415 
 -7.52973   7.76994 
 -7.88516   7.46423 
 -8.00554   6.99673 
 -8.02805   5.94881 
 -8.01242   4.97216 
 -8.02066   3.99716 
 -8.0279    3.01564 
 -8.04539   1.9893  
 -8.00731   0.997039
 -7.99257  -0.020292
 -7.98285  -0.996116
 -8.02171  -1.95679 
 -8.       -3.      
 -8.       -4.      
 -8.       -5.      
 -8.       -6.      
 -8.       -7.      
 -7.70737  -7.78474 
 -7.43065  -8.2103  
 -6.99162  -8.29305 
 -6.58158  -8.11958 
 -6.41997  -7.6628  
 -6.15174  -6.72109 
 -5.82869  -5.77904 
 -5.45083  -4.83664 
 -5.01745  -4.00785 
 -4.69475  -3.00883 
 -4.3717   -2.06677 
 -3.99455  -1.01045 
 -3.56081  -0.238609
 -2.82455   0.364163
 -1.64519   0.229037
 -0.980194 -0.934785
 -0.945017 -2.18796 
 -1.45956  -3.18817 
 -1.83724  -4.15906 
 -2.26903  -5.24421 
 -2.64654  -6.24357 
 -2.93619  -6.92693 
 -3.00432  -7.50442 
